,financial_year,town,room_type,min_selling_price,max_selling_price,min_selling_price_less_ahg_shg,max_selling_price_less_ahg_shg,project_id
325,2023,Tengah,2-room,114000.0,202000.0,34000.0,122000.0,86
326,2023,Tengah,3-room,232000.0,309000.0,157000.0,234000.0,86
327,2023,Tengah,4-room,350000.0,467000.0,290000.0,407000.0,86
328,2023,Tengah,5-room,454000.0,607000.0,409000.0,562000.0,86
329,2023,Woodlands,2-room,119000.0,231000.0,39000.0,151000.0,87
330,2023,Woodlands,3-room,223000.0,345000.0,148000.0,270000.0,87
331,2023,Woodlands,4-room,303000.0,468000.0,243000.0,408000.0,87
332,2023,Woodlands,5-room,412000.0,612000.0,367000.0,567000.0,87
333,2024,Bukit Batok,2-room,140000.0,217000.0,20000.0,97000.0,88
334,2024,Bukit Batok,3-room,247000.0,329000.0,142000.0,224000.0,88
335,2024,Bukit Batok,4-room,335000.0,445000.0,255000.0,365000.0,88
336,2024,Bukit Batok,5-room,496000.0,597000.0,441000.0,542000.0,88
337,2024,Jurong West,2-room,109000.0,194000.0,6000.0,74000.0,89
338,2024,Jurong West,3-room,209000.0,306000.0,104000.0,201000.0,89
339,2024,Jurong West,4-room,290000.0,434000.0,210000.0,354000.0,89
340,2024,Jurong West,5-room,427000.0,598000.0,372000.0,543000.0,89
341,2024,Pasir Ris,2-room,194000.0,288000.0,74000.0,168000.0,90
342,2024,Pasir Ris,3-room,329000.0,411000.0,224000.0,306000.0,90
343,2024,Pasir Ris,4-room,481000.0,595000.0,401000.0,515000.0,90
344,2024,Pasir Ris,5-room,635000.0,736000.0,580000.0,681000.0,90
345,2024,Sengkang,2-room,126000.0,240000.0,7000.0,120000.0,91
346,2024,Sengkang,3-room,277000.0,370000.0,172000.0,265000.0,91
347,2024,Sengkang,4-room,324000.0,474000.0,244000.0,394000.0,91
348,2024,Sengkang,5-room,465000.0,640000.0,410000.0,585000.0,91
349,2024,Woodlands,2-room,140000.0,251000.0,20000.0,131000.0,92
350,2024,Woodlands,3-room,275000.0,363000.0,170000.0,258000.0,92
351,2024,Woodlands,4-room,329000.0,528000.0,249000.0,448000.0,92
352,2024,Woodlands,5-room,486000.0,661000.0,431000.0,606000.0,92
353,2024,Yishun,2-room,108000.0,181000.0,6000.0,61000.0,93
354,2024,Yishun,3-room,245000.0,295000.0,140000.0,190000.0,93
355,2024,Yishun,4-room,316000.0,395000.0,236000.0,315000.0,93
356,2024,Yishun,5-room,447000.0,533000.0,392000.0,478000.0,93
